ID#     Density	    [A]	           [B]		  [C]
10	7.327	12.96308	15.417833	20.042553
22	7.333	13.098976	15.364715	19.886669
6	7.396	13.200937	15.306577	19.639844
2	7.414	12.994349	15.149136	20.111435
4	7.418	13.082157	15.208962	19.885648
29	7.436	13.043719	15.586436	19.41643
5	7.463	13.009033	15.351056	19.69271
25	7.466	13.151212	15.050323	19.861946
9	7.520	12.825641	15.317629	19.866109
13	7.559	12.802463	15.416914	19.671877
7	7.561	13.203902	15.105429	19.46308
11	7.579	12.846214	15.118724	19.93965
26	7.583	13.013925	15.182991	19.588479
27	7.583	13.054775	15.290775	19.390455
30	7.583	13.078739	15.140499	19.546459
14	7.605	12.915532	15.156526	19.716903
50	7.609	12.873209	15.184701	19.732729
16	7.613	12.888593	15.043416	19.883736
24	7.616	12.814157	15.411415	19.516145
18	7.617	12.971842	15.163794	19.589991
3	7.623	13.002554	15.073245	19.646562
1	7.640	13.118509	15.088246	19.408323
51	7.654	13.077899	15.064897	19.46467
12	7.659	12.989075	15.074769	19.571787
20	7.661	12.996153	15.245966	19.337259
19	7.662	12.839225	15.174642	19.660725
15	7.667	12.799498	15.104229	19.802034
46	7.672	12.739607	15.28666	19.645031
54	7.688	12.991219	15.121516	19.434834
56	7.689	12.93429	15.099601	19.54604
23	7.694	12.838767	15.268509	19.461598
58	7.715	12.694649	15.354254	19.859131
17	7.734	12.950319	14.920472	19.641629
52	7.734	12.784972	15.123517	19.628221
28	7.736	13.005146	14.993845	19.458105
53	7.737	12.75015	15.210324	19.561876
60	7.765	12.735963	15.226382	19.492328
47	7.776	12.914811	14.877031	19.646077
8	7.789	12.780987	14.913576	19.770481
36	7.815	12.832004	15.170415	19.292806
49	7.815	12.734987	15.227146	19.367738
35	7.822	12.870294	14.986626	19.453441
55	7.830	12.76857	15.093078	19.450068
41	7.833	12.800028	15.152212	19.320027
40	7.852	12.649217	15.132231	19.530068
57	7.857	12.633017	15.179004	19.481613
59	7.858	12.704263	15.015291	19.580257
37	7.868	12.953453	14.872349	19.364953
39	7.870	12.777124	14.933294	19.546617
32	7.898	12.896339	14.812713	19.453605
42	7.919	12.832961	14.907591	19.373864
45	7.936	12.805175	15.239716	18.951602
43	7.968	12.808293	14.974357	19.205968
33	7.970	12.732916	15.026881	19.246317
38	8.005	12.538549	15.239471	19.188395
21	8.010	12.727607	14.884937	19.342861
34	8.011	12.564075	15.128663	19.27513
31	8.030	12.700331	14.822258	19.417254
48	8.034	12.657649	14.878913	19.398781
44	8.118	12.77754	14.724618	19.21647
